User ID;Purchase;Homepage;Categories;ProductPage;Onsales;Search;Basket;Others;Sum
U00048084;0;7;5;35;1;2;3;0;53
U00048237;0;13;10;53;1;2;4;2;85
U00048271;0;6;4;9;4;0;1;0;24
U00048359;1;14;4;46;2;15;10;0;91
U00048455;1;3;1;5;2;0;0;0;11
U00048460;0;4;5;10;1;1;2;1;24
U00048546;1;4;3;8;0;1;2;0;18
U00048556;0;7;9;16;3;2;2;0;39
U00048675;0;3;1;5;2;0;0;0;11
U00048705;0;5;5;10;1;0;2;0;23
U00048847;0;8;3;22;0;7;4;2;46
U00048896;0;5;3;8;3;1;0;1;21
U00048932;0;4;5;9;0;1;1;0;20
U00048953;1;10;0;31;1;8;6;1;57
U00049098;0;4;7;15;1;1;2;1;31
U00049136;0;4;3;9;1;1;2;0;20
U00049297;0;6;5;13;1;2;1;1;29
U00049326;1;9;1;31;2;10;7;2;62
U00049485;1;9;2;12;4;0;0;1;28
U00049694;0;4;2;4;2;1;0;0;13
U00049805;0;9;0;38;1;11;6;2;67
U00050019;1;5;4;8;1;1;1;0;20
U00050032;1;3;4;8;1;1;2;1;20
U00050196;0;7;1;30;0;10;5;1;54
U00050270;0;3;3;8;1;1;1;0;17
U00050598;1;8;7;15;1;2;2;0;35
U00050696;1;6;3;8;3;1;1;0;22
U00050762;1;10;0;40;0;12;8;2;72
U00050807;0;3;2;6;2;1;0;0;14
U00050904;1;4;2;6;2;0;0;0;14
U00050929;0;6;0;29;1;9;5;1;51
U00050955;1;11;11;21;3;2;1;0;49
U00050998;0;6;6;12;1;1;2;0;28
U00051031;0;13;11;23;4;1;3;0;55
U00051036;0;10;5;14;7;1;2;1;40
U00051068;1;10;4;51;0;1;3;2;71
U00051157;0;6;1;21;1;6;4;0;39
U00051193;1;7;8;14;0;1;2;0;32
U00051285;1;12;6;53;1;2;3;0;77
U00051294;1;3;0;27;2;9;5;1;47
U00051366;0;3;3;6;1;1;1;0;15
U00051379;1;11;0;33;0;10;7;1;62
U00051551;0;3;4;7;0;1;1;0;16
U00051635;1;10;0;30;2;9;5;0;56
U00051653;0;4;0;21;0;7;4;1;37
U00051679;0;5;5;12;1;2;1;0;26
U00051854;0;12;10;51;3;3;4;1;84
U00051908;1;4;4;8;3;0;1;0;20
U00051916;1;6;5;12;1;1;2;1;28
U00051949;1;5;4;10;1;1;2;0;23
U00051969;1;5;8;12;1;0;1;0;27
U00052062;0;6;5;14;1;1;2;0;29
U00052228;1;5;0;18;1;5;3;0;32
U00052235;1;7;10;21;2;1;3;0;44
U00052324;1;3;3;8;2;0;0;0;16
U00052330;0;6;8;16;1;2;3;0;36
U00052343;1;8;7;15;2;3;3;0;38
U00052389;0;4;6;13;1;2;3;0;29
U00052493;0;9;5;39;0;1;2;0;56
U00052727;0;6;1;9;3;0;0;0;19
U00052775;1;3;2;26;0;9;4;0;44
U00052795;0;6;4;38;0;10;7;1;66
U00052803;1;4;1;8;2;0;1;0;16
U00052809;1;5;4;9;4;0;0;0;22
U00052934;0;3;2;5;2;0;0;0;12
U00052951;1;3;4;9;1;0;1;0;18
U00053000;1;4;2;9;3;1;1;0;20
U00053071;1;3;2;5;2;0;0;1;13
U00053144;0;3;3;6;3;0;1;0;16
U00053254;1;5;4;14;1;1;1;0;26
U00053396;0;10;5;35;3;11;6;3;73
U00053473;0;6;3;10;3;0;1;0;23
U00053814;1;7;6;14;3;1;2;2;35
U00053895;1;10;9;15;1;2;2;0;39
U00053971;1;9;1;31;2;10;6;0;59
U00054018;0;4;2;5;2;0;1;0;14
U00054097;1;5;5;8;2;0;1;1;22
U00054202;1;14;11;67;0;2;4;0;98
U00054387;0;7;5;30;0;1;3;1;47
U00054448;1;3;1;16;0;5;3;1;29
U00054551;0;9;1;27;0;9;6;1;53
U00054584;0;8;7;17;1;1;3;1;38
U00054695;0;4;2;7;2;0;0;0;15
U00054715;0;9;7;15;4;1;2;0;38
U00054935;0;8;5;14;5;2;1;0;35
U00054941;0;10;14;25;1;1;4;1;56
U00054970;1;13;10;61;2;4;5;2;97
U00054982;1;10;4;32;0;11;7;2;66
U00055004;1;3;6;12;1;1;2;0;25
U00055058;0;4;4;9;0;1;1;0;19
U00055091;1;3;4;8;0;1;1;0;17
U00055094;1;12;3;52;1;17;10;2;97
U00055204;0;5;4;6;3;1;1;1;21
U00055394;0;8;3;28;1;8;4;1;53
U00055425;0;4;4;7;0;1;1;0;17
U00055611;1;8;2;27;0;9;5;1;52
U00055638;1;4;3;9;1;1;1;0;19
U00055641;1;7;7;13;1;1;2;0;31
U00055789;1;6;0;51;1;14;9;3;84
U00055993;0;3;2;4;2;0;0;0;11
U00056034;1;4;7;13;1;1;2;0;28
U00056103;1;3;3;8;1;1;1;0;17
U00056129;1;4;2;4;1;1;0;0;12
U00056182;1;5;3;7;3;0;1;0;19
U00056198;1;7;6;33;0;10;5;2;63
U00056229;1;8;8;18;3;2;3;1;43
U00056278;1;4;0;17;0;6;4;1;32
U00056310;1;13;7;51;2;3;2;0;78
U00056350;0;21;7;73;0;2;5;1;109
U00056415;0;10;6;24;1;3;4;0;48
U00056626;1;3;4;8;0;0;1;0;16
U00056774;1;5;5;8;3;1;1;2;25
U00056934;1;9;5;14;1;2;3;1;35
U00057005;1;4;4;9;1;1;1;0;20
U00057057;1;6;1;20;0;6;3;1;37
U00057078;1;6;1;7;2;1;0;1;18
U00057163;1;9;7;19;1;1;3;1;41
U00057189;1;9;5;40;1;2;3;0;60
U00057233;0;5;4;8;1;1;1;0;20
U00057475;0;20;5;67;3;1;3;0;99
U00057562;0;6;4;11;1;1;2;0;25
U00057572;1;4;5;12;1;1;2;0;25
U00057613;0;4;2;6;3;1;0;1;17
U00057711;0;4;2;5;3;1;0;0;15
